"Time","Temperature 1","Temperature 2","Force"
0,20.5,20.7,0
1,20.5,20.7,1
2,20.5,20.3,1
3,20.5,20.3,1
4,20.5,20.7,2
5,20.1,20.7,2
6,20.5,21.1,4
7,20.5,21.1,4
8,20.5,21.1,4
9,20.5,21.1,2
10,20.5,21.1,5
11,20.5,21.1,2
12,20.5,21.1,4
13,20.5,21.1,2
14,20.5,21.1,2
15,20.5,21.6,5
16,20.5,21.1,2
17,20.1,21.1,4
18,20.5,21.1,4
19,20.5,21.1,4
20,20.5,21.1,4
21,20.5,21.1,2
22,20.5,21.1,2
23,20.5,21.1,2
24,20.5,21.1,2
25,20.5,21.1,2
26,20.5,21.1,2
27,20.5,21.1,2
28,20.5,21.1,2
29,20.5,21.1,2
30,20.5,21.1,2
31,20.5,21.1,2
32,20.5,21.1,2
33,20.5,21.1,1
34,20.5,21.1,2
35,20.5,21.1,2
36,20.5,21.1,2
37,20.5,21.1,4
38,20.5,21.1,2
39,20.5,21.1,4
40,20.5,20.7,2
41,20.5,21.1,4
42,20.5,21.1,4
43,20.5,21.1,2
44,20.5,20.7,4
45,20.5,21.1,2
46,20.5,21.1,2
47,20.5,21.1,2
48,20.5,21.1,4
49,20.5,21.1,4
50,20.5,21.1,4
51,20.5,20.7,4
52,20.5,21.1,2
53,20.5,21.1,4
54,20.5,21.1,4
55,20.5,21.1,2
56,20.5,21.1,4
57,20.5,21.1,4
58,20.5,21.1,2
59,20.5,21.1,2
60,20.5,21.1,2
61,20.5,21.1,4
62,20.9,21.1,2
63,20.5,21.1,2
64,20.5,21.1,4
65,20.5,21.1,4
66,20.5,21.1,4
67,20.5,21.1,1
68,20.5,21.1,2
69,20.5,21.1,2
70,20.5,21.1,4
71,20.5,21.1,2
72,20.5,21.1,2
73,20.5,21.1,2
74,20.5,21.1,2
75,20.5,21.1,1
76,20.5,21.1,2
77,20.5,21.1,4
78,20.5,21.1,4
79,20.5,21.1,2
80,20.5,21.1,2
81,20.5,21.1,2
82,20.5,21.1,2
83,20.5,21.1,4
84,20.9,21.1,2
85,20.5,21.1,2
86,20.5,21.1,4
87,20.5,21.1,4
88,20.5,21.1,2
89,20.5,21.1,2
90,20.5,21.1,4
91,20.5,21.1,1
92,20.5,21.1,2
93,20.9,21.1,4
94,20.5,21.6,2
95,20.5,21.1,2
96,20.5,21.1,4
97,20.5,21.1,2
98,20.5,21.1,2
99,20.5,21.1,2
100,20.9,21.6,2
101,20.5,21.6,2
102,20.5,21.1,2
103,20.5,21.1,4
104,20.5,21.1,2
105,20.5,21.1,2
106,20.5,21.1,2
107,20.9,21.1,2
108,20.5,21.1,2
109,20.5,21.1,4
110,20.9,21.6,2
111,20.9,21.6,2
112,20.9,21.6,2
113,20.9,21.1,1
114,20.5,21.1,4
115,20.5,21.6,4
116,20.9,21.1,2
117,20.9,21.1,4
118,20.9,21.1,1
119,20.9,21.1,4
120,20.5,21.1,4
121,20.9,21.1,2
122,20.5,21.6,4
123,20.5,21.6,4
124,20.9,21.1,1
125,20.9,21.1,2
126,20.5,21.1,5
127,20.9,21.1,1
128,20.5,21.1,2
129,20.9,21.1,4
130,20.9,21.1,2
131,20.9,21.1,4
132,20.9,21.6,1
133,20.9,21.1,4
134,20.9,21.1,4
135,20.9,21.1,2
136,20.9,21.1,4
137,20.9,21.6,2
138,20.9,21.6,4
139,20.9,21.1,4
140,20.9,21.1,1
141,20.9,21.1,4
142,20.9,21.6,2
143,20.5,21.1,2
144,20.9,21.1,4
145,20.9,21.6,4
146,20.9,21.6,1
147,20.9,21.1,2
